Clave_mun,longitud,latitud,altitud,totreg,ingtoper,Censo_y_edu,Censo_y_salud,Censo_y_ss,Censo_y_cv,Censo_y_sbv,Censo_y_ali,Censo_y_ing,Censo_y_esco,Enigh_y_edu,Enigh_y_salud,Enigh_y_ss,Enigh_y_cv,Enigh_y_sbv,Enigh_y_ali2,Enigh_y_ing,Nb_mun,Population,Gini_coef
106,965213,194220,1800,3818,895940,0.3866,0.9586,0.9597,0.5068,0.3326,0.1768,0.2347,3.0257,0.3674162,0.4915757,0.9380314,0.2028372,0.1906505,0.2592537,1.07012,Miahuatlán,4556,0.3901432
107,970848,194127,1480,2574,1395539,0.4557,0.9592,0.958,0.7179,0.8765,0.4421,0.5422,2.3089,0.4298207,0.2428724,0.9385297,0.4375778,0.772036,0.3136766,0.63732,Las Minas,2960,0.4030074
108,943331,175920,20,152885,156000000,0.2301,0.5732,0.5522,0.3687,0.4833,0.1572,1.0204,5.6221,0.2075575,0.2818508,0.5584939,0.2088157,0.4004298,0.3454628,3.36131,Minatitlán,178387,0.4732521
109,965115,195538,300,60320,34100000,0.2786,0.7586,0.7596,0.4562,0.5239,0.1085,0.5653,4.8009,0.2904564,0.2209304,0.8325483,0.3243703,0.5519991,0.2370309,1.46966,Misantla,72143,0.4215845
110,965927,183542,1650,8364,1244840,0.4269,0.9872,0.9937,0.9717,0.9813,0.9121,0.1488,1.1759,0.5299224,0.3477558,0.9843222,0.6980287,0.9909709,0.3956581,0.42463,Mixtla de Altamirano,9287,0.3757272
111,942043,175912,80,16723,11700000,0.3494,0.7353,0.7125,0.5183,0.6242,0.3175,0.6996,3.9827,0.3113037,0.2838561,0.7812271,0.3101677,0.6222688,0.2867772,1.65221,Moloacán,18355,0.4340366
112,965225,193912,1540,18035,9893639,0.366,0.6757,0.671,0.2232,0.1724,0.0538,0.5486,4.2186,0.2743307,0.3830311,0.7731521,0.11501,0.2330415,0.2083622,1.79668,Naolinco,22863,0.4217004
113,965747,184839,740,4039,2218815,0.3474,0.8963,0.8965,0.7031,0.7576,0.2431,0.5493,3.9772,0.294918,0.2605287,0.8496583,0.3843853,0.4380729,0.3553665,0.96548,Naranjal,4326,0.4335144
114,964620,201226,10,9774,4346694,0.3152,0.7321,0.7289,0.6238,0.7997,0.2053,0.4447,3.9277,0.3004204,0.2668839,0.8322728,0.2023153,0.5645137,0.2176442,1.34493,Nautla,10099,0.3886669
115,970946,184919,1280,30900,23700000,0.2367,0.6043,0.5917,0.3192,0.3847,0.0497,0.767,5.5273,0.2587796,0.5719937,0.726532,0.19133,0.3029626,0.2560193,1.93007,Nogales,31853,0.4325006
